Date,Year,Quarter,Exchange Rate
1995-01-01 00:00:00.000,1995,Q1,0.0
1995-02-01 00:00:00.000,1995,Q1,0.0
1995-03-01 00:00:00.000,1995,Q1,0.0
1995-04-01 00:00:00.000,1995,Q2,0.0
1995-05-01 00:00:00.000,1995,Q2,0.0
1995-06-01 00:00:00.000,1995,Q2,0.0
1995-07-01 00:00:00.000,1995,Q3,0.0
1995-08-01 00:00:00.000,1995,Q3,0.0
1995-09-01 00:00:00.000,1995,Q3,0.0
1995-10-01 00:00:00.000,1995,Q4,0.0
1995-11-01 00:00:00.000,1995,Q4,0.0
1995-12-01 00:00:00.000,1995,Q4,0.0
1996-01-01 00:00:00.000,1996,Q1,0.0
1996-02-01 00:00:00.000,1996,Q1,0.0
1996-03-01 00:00:00.000,1996,Q1,0.0
1996-04-01 00:00:00.000,1996,Q2,0.0
1996-05-01 00:00:00.000,1996,Q2,0.0
1996-06-01 00:00:00.000,1996,Q2,0.0
1996-07-01 00:00:00.000,1996,Q3,0.0
1996-08-01 00:00:00.000,1996,Q3,0.0
1996-09-01 00:00:00.000,1996,Q3,0.0
1996-10-01 00:00:00.000,1996,Q4,0.0
1996-11-01 00:00:00.000,1996,Q4,0.0
1996-12-01 00:00:00.000,1996,Q4,0.0
1997-01-01 00:00:00.000,1997,Q1,0.0
1997-02-01 00:00:00.000,1997,Q1,0.0
1997-03-01 00:00:00.000,1997,Q1,0.0
1997-04-01 00:00:00.000,1997,Q2,0.0
1997-05-01 00:00:00.000,1997,Q2,0.0
1997-06-01 00:00:00.000,1997,Q2,0.0
1997-07-01 00:00:00.000,1997,Q3,0.0
1997-08-01 00:00:00.000,1997,Q3,0.0
1997-09-01 00:00:00.000,1997,Q3,0.0
1997-10-01 00:00:00.000,1997,Q4,0.0
1997-11-01 00:00:00.000,1997,Q4,0.0
1997-12-01 00:00:00.000,1997,Q4,0.0
1998-01-01 00:00:00.000,1998,Q1,0.0
1998-02-01 00:00:00.000,1998,Q1,0.0
1998-03-01 00:00:00.000,1998,Q1,0.0
1998-04-01 00:00:00.000,1998,Q2,0.0
1998-05-01 00:00:00.000,1998,Q2,0.0
1998-06-01 00:00:00.000,1998,Q2,0.0
1998-07-01 00:00:00.000,1998,Q3,0.0
1998-08-01 00:00:00.000,1998,Q3,0.0
1998-09-01 00:00:00.000,1998,Q3,0.0
1998-10-01 00:00:00.000,1998,Q4,0.0
1998-11-01 00:00:00.000,1998,Q4,0.0
1998-12-01 00:00:00.000,1998,Q4,0.0
1999-01-01 00:00:00.000,1999,Q1,0.0
1999-02-01 00:00:00.000,1999,Q1,0.0
1999-03-01 00:00:00.000,1999,Q1,0.0
1999-04-01 00:00:00.000,1999,Q2,0.0
1999-05-01 00:00:00.000,1999,Q2,0.0
1999-06-01 00:00:00.000,1999,Q2,0.0
1999-07-01 00:00:00.000,1999,Q3,0.0
1999-08-01 00:00:00.000,1999,Q3,0.0
1999-09-01 00:00:00.000,1999,Q3,0.0
1999-10-01 00:00:00.000,1999,Q4,0.0
1999-11-01 00:00:00.000,1999,Q4,0.0
1999-12-01 00:00:00.000,1999,Q4,0.0
2000-01-01 00:00:00.000,2000,Q1,8.27922
2000-02-01 00:00:00.000,2000,Q1,8.278119999999998
